letter,count_all,count_uppercase,percentage
a,47,11,11.9
b,2,0,0.5
c,9,1,2.3
d,21,0,5.3
e,44,2,11.1
f,12,1,3.0
g,10,2,2.5
h,9,0,2.3
i,28,0,7.1
j,2,1,0.5
k,2,0,0.5
l,19,0,4.8
m,9,0,2.3
n,26,2,6.6
o,14,0,3.5
p,10,6,2.5
r,23,0,5.8
s,21,1,5.3
t,44,1,11.1
u,13,0,3.3
v,10,1,2.5
w,10,0,2.5
x,2,0,0.5
y,8,0,2.0
